,language_pair,split,threshold_strategy,exp_group,threshold,MCC,precision,recall,f1,accuracy
0,en-ja,dev,best,second_step_base_demetr_data_enja,0.484,0.33482555747032167,0.3263286232948303,0.5270833373069763,0.4029419720172882,0.8499999880790711
1,en-ja,dev,default,second_step_base_demetr_data_enja,0.5,0.33245506286621096,0.32535103559494016,0.5229166746139526,0.40099371671676637,0.8499999880790711
2,en-ja,dev,extreme,second_step_base_demetr_data_enja,0.1,0.28023864030838014,0.25513229668140414,0.5645833373069763,0.351190572977066,0.7994000077247619
3,en-ja,test,best,second_step_base_demetr_data_enja,0.484,0.2576208621263504,0.2704129576683044,0.40731707215309143,0.3245789647102356,0.8611999988555908
4,en-ja,test,default,second_step_base_demetr_data_enja,0.5,0.25523110926151277,0.2707110524177551,0.4,0.3224001467227936,0.8623999953269958
5,en-ja,test,extreme,second_step_base_demetr_data_enja,0.1,0.2630549490451813,0.23236007690429689,0.5317073225975036,0.32302783727645873,0.8169999957084656
