,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
13,0.47000000000000003,0.34214916825294495,0.5208333134651184,0.3378378450870514,0.4098360538482666,0.8560000061988831,best,en-ja,dev,2710,supervised,second_step_base_demetr_data_enja
3,0.5,0.33926263451576233,0.5416666865348816,0.32499998807907104,0.40625,0.8479999899864197,default,en-ja,dev,42,supervised,second_step_base_demetr_data_enja
14,0.1,0.2926035225391388,0.5625,0.2673267424106598,0.3624161183834076,0.8100000023841858,extreme,en-ja,dev,2710,supervised,second_step_base_demetr_data_enja
28,0.46,0.2782382369041443,0.4390243887901306,0.28125,0.34285715222358704,0.8619999885559082,best,en-ja,test,89,supervised,second_step_base_demetr_data_enja
27,0.5,0.27647942304611206,0.4268292784690857,0.28455284237861633,0.3414634168148041,0.8650000095367432,default,en-ja,test,89,supervised,second_step_base_demetr_data_enja
26,0.1,0.27226755023002625,0.5121951103210449,0.24705882370471954,0.3333333432674408,0.8320000171661377,extreme,en-ja,test,928,supervised,second_step_base_demetr_data_enja
