,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
7,0.49,0.32489097118377686,0.53125,0.3128834366798401,0.39382240176200867,0.8429999947547913,best,en-ja,dev,107,supervised,second_step_base_demetr_data_enja
6,0.5,0.3207439184188843,0.5208333134651184,0.3125,0.390625,0.843999981880188,default,en-ja,dev,107,supervised,second_step_base_demetr_data_enja
8,0.1,0.267910361289978,0.5729166865348816,0.24122807383537292,0.3395061790943146,0.7860000133514404,extreme,en-ja,dev,107,supervised,second_step_base_demetr_data_enja
19,0.47000000000000003,0.23556675016880035,0.37804877758026123,0.25619834661483765,0.3054187297821045,0.859000027179718,best,en-ja,test,2710,supervised,second_step_base_demetr_data_enja
18,0.5,0.22537679970264435,0.353658527135849,0.25438597798347473,0.29591837525367737,0.8619999885559082,default,en-ja,test,2710,supervised,second_step_base_demetr_data_enja
17,0.1,0.25149005651474,0.5365853905677795,0.2199999988079071,0.3120567500591278,0.8059999942779541,extreme,en-ja,test,107,supervised,second_step_base_demetr_data_enja
