,language_pair,split,threshold_strategy,exp_group,MCC,seed,threshold,precision,recall,f1,accuracy
0,en-ja,dev,best,second_step_base_demetr_data_enja,0.33523520827293396,928,0.5,0.3310810923576355,0.5104166865348816,0.40163934230804443,0.8539999723434448
1,en-ja,dev,default,second_step_base_demetr_data_enja,0.33444374799728394,928,0.5,0.3310810923576355,0.5104166865348816,0.40163934230804443,0.8539999723434448
2,en-ja,dev,extreme,second_step_base_demetr_data_enja,0.27564629912376404,928,0.1,0.27040815353393555,0.5520833134651184,0.36301368474960327,0.8140000104904175
3,en-ja,test,best,second_step_base_demetr_data_enja,0.2546781897544861,107,0.49,0.27067670226097107,0.4390243887901306,0.3348837196826935,0.8569999933242798
4,en-ja,test,default,second_step_base_demetr_data_enja,0.2546781897544861,107,0.5,0.27067670226097107,0.4390243887901306,0.3348837196826935,0.8569999933242798
5,en-ja,test,extreme,second_step_base_demetr_data_enja,0.2638499438762665,107,0.1,0.2199999988079071,0.5365853905677795,0.3120567500591278,0.8059999942779541
