,language_pair,split,threshold_strategy,exp_group,MCC,seed,threshold,precision,recall,f1,accuracy
0,en-cs,dev,best,train_multilingual_auth_demetr_data_single,0.47691798210144043,89,0.49,0.5249999761581421,0.5753424763679504,0.5490196347236633,0.8619999885559082
1,en-cs,dev,default,train_multilingual_auth_demetr_data_single,0.47389599680900574,89,0.5,0.518750011920929,0.5763888955116272,0.5460526347160339,0.8619999885559082
2,en-cs,dev,extreme,train_multilingual_auth_demetr_data_single,0.42945659160614014,89,0.1,0.668749988079071,0.44398340582847595,0.5336658358573914,0.8130000233650208
3,en-cs,test,best,train_multilingual_auth_demetr_data_single,0.4099474549293518,89,0.49,0.45502644777297974,0.5620915293693542,0.5029239654541016,0.8299999833106995
4,en-cs,test,default,train_multilingual_auth_demetr_data_single,0.41211679577827454,89,0.5,0.44973546266555786,0.5666666626930237,0.501474916934967,0.8309999704360962
5,en-cs,test,extreme,train_multilingual_auth_demetr_data_single,0.45224153995513916,89,0.1,0.7089946866035461,0.47017544507980347,0.5654008388519287,0.7940000295639038
6,en-de,dev,best,train_multilingual_auth_demetr_data_single,0.4860648512840271,107,0.18,0.708185076713562,0.5835776925086975,0.63987135887146,0.7760000228881836
7,en-de,dev,default,train_multilingual_auth_demetr_data_single,0.4821535050868988,107,0.5,0.5302491188049316,0.6866359710693359,0.5983935594558716,0.800000011920929
8,en-de,dev,extreme,train_multilingual_auth_demetr_data_single,0.447844535112381,107,0.1,0.7758007049560547,0.5165876746177673,0.6201991438865662,0.7329999804496765
9,en-de,test,best,train_multilingual_auth_demetr_data_single,0.5068863034248352,107,0.18,0.7604166865348816,0.5967302322387695,0.6687023043632507,0.7829999923706055
10,en-de,test,default,train_multilingual_auth_demetr_data_single,0.4618740379810333,107,0.5,0.5,0.6824644804000854,0.5771543383598328,0.7889999747276306
11,en-de,test,extreme,train_multilingual_auth_demetr_data_single,0.49307140707969666,107,0.1,0.8298611044883728,0.5444191098213196,0.6574965715408325,0.7509999871253967
12,en-ja,dev,best,train_multilingual_auth_demetr_data_single,0.3324328064918518,107,0.2,0.3958333432674408,0.3689320385456085,0.3819095492362976,0.8769999742507935
13,en-ja,dev,default,train_multilingual_auth_demetr_data_single,0.32627126574516296,107,0.5,0.3229166567325592,0.41333332657814026,0.3625730872154236,0.890999972820282
14,en-ja,dev,extreme,train_multilingual_auth_demetr_data_single,0.26490703225135803,107,0.1,0.4166666567325592,0.3076923191547394,0.3539822995662689,0.8539999723434448
15,en-ja,test,best,train_multilingual_auth_demetr_data_single,0.20230786502361298,42,0.5,0.23170731961727142,0.28358209133148193,0.25503355264663696,0.8889999985694885
16,en-ja,test,default,train_multilingual_auth_demetr_data_single,0.19688844680786133,42,0.5,0.23170731961727142,0.28358209133148193,0.25503355264663696,0.8889999985694885
17,en-ja,test,extreme,train_multilingual_auth_demetr_data_single,0.25021329522132874,42,0.1,0.5121951103210449,0.21989528834819794,0.3076923191547394,0.8109999895095825
18,en-zh,dev,best,train_multilingual_auth_demetr_data_single,0.3677644431591034,89,0.38,0.5177304744720459,0.4078212380409241,0.45625001192092896,0.8259999752044678
19,en-zh,dev,default,train_multilingual_auth_demetr_data_single,0.35981249809265137,89,0.5,0.41843971610069275,0.45736435055732727,0.43703705072402954,0.8479999899864197
20,en-zh,dev,extreme,train_multilingual_auth_demetr_data_single,0.29893597960472107,89,0.1,0.716312050819397,0.26861703395843506,0.39071565866470337,0.6850000023841858
21,en-zh,test,best,train_multilingual_auth_demetr_data_single,0.2518257200717926,2710,0.51,0.34810125827789307,0.3819444477558136,0.3642384111881256,0.8080000281333923
22,en-zh,test,default,train_multilingual_auth_demetr_data_single,0.2543559968471527,2710,0.5,0.3607594966888428,0.37748345732688904,0.3689320385456085,0.8050000071525574
23,en-zh,test,extreme,train_multilingual_auth_demetr_data_single,0.2931164801120758,2710,0.1,0.6518987417221069,0.30930930376052856,0.41955193877220154,0.7149999737739563
