,language_pair,split,threshold_strategy,exp_group,threshold,MCC,precision,recall,f1,accuracy
0,en-cs,dev,best,train_multilingual_auth_demetr_data_single,0.508,0.4795317590236664,0.5877195119857788,0.5312500119209289,0.5577260017395019,0.8651999950408935
1,en-cs,dev,default,train_multilingual_auth_demetr_data_single,0.5,0.47519375681877135,0.5798541069030761,0.5325000166893006,0.5549293518066406,0.8634000062942505
2,en-cs,dev,extreme,train_multilingual_auth_demetr_data_single,0.1,0.42633106708526614,0.4099781155586243,0.7224999904632569,0.5218072175979614,0.7876000046730042
3,en-cs,test,best,train_multilingual_auth_demetr_data_single,0.508,0.41283902525901794,0.5686320424079895,0.4624338626861572,0.5093469500541687,0.8317999958992004
4,en-cs,test,default,train_multilingual_auth_demetr_data_single,0.5,0.4121144235134125,0.5649073600769043,0.4656084716320038,0.5097684144973755,0.8309999942779541
5,en-cs,test,extreme,train_multilingual_auth_demetr_data_single,0.1,0.4479996025562286,0.4414625704288483,0.7619047522544861,0.5580854892730713,0.7716000080108643
6,en-de,dev,best,train_multilingual_auth_demetr_data_single,0.314,0.48710901737213136,0.6459962010383606,0.6163701295852662,0.6237756013870239,0.7924000024795532
7,en-de,dev,default,train_multilingual_auth_demetr_data_single,0.5,0.483002120256424,0.7024580121040345,0.5245551705360413,0.6003779530525207,0.8038000106811524
8,en-de,dev,extreme,train_multilingual_auth_demetr_data_single,0.1,0.44416649341583253,0.5171507358551025,0.772953724861145,0.6165534138679505,0.7287999987602234
9,en-de,test,best,train_multilingual_auth_demetr_data_single,0.31399999999999995,0.49378339648246766,0.6466680407524109,0.6347222208976746,0.6318222045898437,0.7906000018119812
10,en-de,test,default,train_multilingual_auth_demetr_data_single,0.5,0.4600916028022766,0.6944526195526123,0.5020833313465118,0.5825778603553772,0.792799997329712
11,en-de,test,extreme,train_multilingual_auth_demetr_data_single,0.1,0.48862735629081727,0.5381909847259522,0.8229166626930237,0.6482380032539368,0.7424000024795532
12,en-ja,dev,best,train_multilingual_auth_demetr_data_single,0.42800000000000005,0.33065381050109866,0.4074642419815063,0.38125,0.3915953993797302,0.8861999988555909
13,en-ja,dev,default,train_multilingual_auth_demetr_data_single,0.5,0.32332615852355956,0.41681081652641294,0.35208332538604736,0.3814013123512268,0.890399980545044
14,en-ja,dev,extreme,train_multilingual_auth_demetr_data_single,0.1,0.26752354502677916,0.26635700166225434,0.49999998807907103,0.34251812696456907,0.8143999934196472
15,en-ja,test,best,train_multilingual_auth_demetr_data_single,0.42800000000000005,0.20266360342502593,0.29108110070228577,0.2390243887901306,0.2578887164592743,0.8890000104904174
16,en-ja,test,default,train_multilingual_auth_demetr_data_single,0.5,0.1915360540151596,0.29975242614746095,0.20243902504444122,0.24032298922538758,0.8955999970436096
17,en-ja,test,extreme,train_multilingual_auth_demetr_data_single,0.1,0.2472052127122879,0.2403739273548126,0.4658536553382874,0.31212434768676756,0.8300000071525574
18,en-zh,dev,best,train_multilingual_auth_demetr_data_single,0.46799999999999997,0.3634877324104309,0.4285493314266205,0.4936170160770416,0.45837101340293884,0.8354000091552735
19,en-zh,dev,default,train_multilingual_auth_demetr_data_single,0.5,0.36005566120147703,0.4394896149635315,0.46808510422706606,0.4524347186088562,0.8404000043869019
20,en-zh,dev,extreme,train_multilingual_auth_demetr_data_single,0.1,0.2966166019439697,0.284521746635437,0.6936170339584351,0.40115913152694704,0.7064000010490418
21,en-zh,test,best,train_multilingual_auth_demetr_data_single,0.46799999999999997,0.2510385662317276,0.37083951830863954,0.36708860993385317,0.3684904634952545,0.8014000058174133
22,en-zh,test,default,train_multilingual_auth_demetr_data_single,0.5,0.25608591735363007,0.38874231576919555,0.34810127019882203,0.36633425354957583,0.8098000049591064
23,en-zh,test,extreme,train_multilingual_auth_demetr_data_single,0.1,0.2887695491313934,0.3014408886432648,0.6721518874168396,0.41313253045082093,0.6981999993324279
