,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
24,0.5,0.4229797422885895,0.5562130212783813,0.49735450744628906,0.5251396894454956,0.8299999833106995,default,en-cs,test,107,supervised,train_multilingual_auth_demetr_data_single
25,0.54,0.40951016545295715,0.5605095624923706,0.46560847759246826,0.5086705088615417,0.8299999833106995,best,en-cs,test,107,supervised,train_multilingual_auth_demetr_data_single
26,0.1,0.46369266510009766,0.44477611780166626,0.7883597612380981,0.5687022805213928,0.7739999890327454,extreme,en-cs,test,107,supervised,train_multilingual_auth_demetr_data_single
27,0.5,0.4040798544883728,0.5827338099479675,0.4285714328289032,0.49390244483947754,0.8339999914169312,default,en-cs,test,42,supervised,train_multilingual_auth_demetr_data_single
28,0.52,0.4099474549293518,0.5970149040222168,0.42328041791915894,0.495356023311615,0.8370000123977661,best,en-cs,test,42,supervised,train_multilingual_auth_demetr_data_single
29,0.1,0.45224153995513916,0.45192307233810425,0.7460317611694336,0.5628742575645447,0.781000018119812,extreme,en-cs,test,42,supervised,train_multilingual_auth_demetr_data_single
30,0.5,0.4750811457633972,0.6866359710693359,0.5302491188049316,0.5983935594558716,0.800000011920929,default,en-de,dev,107,supervised,train_multilingual_auth_demetr_data_single
31,0.18,0.4842323660850525,0.5835776925086975,0.708185076713562,0.63987135887146,0.7760000228881836,best,en-de,dev,107,supervised,train_multilingual_auth_demetr_data_single
32,0.1,0.447844535112381,0.5165876746177673,0.7758007049560547,0.6201991438865662,0.7329999804496765,extreme,en-de,dev,107,supervised,train_multilingual_auth_demetr_data_single
33,0.5,0.4750811457633972,0.6866359710693359,0.5302491188049316,0.5983935594558716,0.800000011920929,default,en-de,dev,89,supervised,train_multilingual_auth_demetr_data_single
34,0.21,0.4860648512840271,0.633093535900116,0.626334547996521,0.6296958923339844,0.7929999828338623,best,en-de,dev,89,supervised,train_multilingual_auth_demetr_data_single
35,0.1,0.47385039925575256,0.590062141418457,0.6761565804481506,0.6301824450492859,0.7770000100135803,extreme,en-de,dev,89,supervised,train_multilingual_auth_demetr_data_single
36,0.5,0.48820754885673523,0.6990740895271301,0.5373665690422058,0.6076458692550659,0.8050000071525574,default,en-de,dev,928,supervised,train_multilingual_auth_demetr_data_single
37,0.5,0.48820754885673523,0.6990740895271301,0.5373665690422058,0.6076458692550659,0.8050000071525574,best,en-de,dev,928,supervised,train_multilingual_auth_demetr_data_single
38,0.1,0.3975399136543274,0.4607645869255066,0.8149465918540955,0.5886889696121216,0.6800000071525574,extreme,en-de,dev,928,supervised,train_multilingual_auth_demetr_data_single
39,0.5,0.4821535050868988,0.7171717286109924,0.5053380727767944,0.592901885509491,0.8050000071525574,default,en-de,dev,42,supervised,train_multilingual_auth_demetr_data_single
40,0.18,0.48255306482315063,0.5914633870124817,0.690391480922699,0.6371099948883057,0.7789999842643738,best,en-de,dev,42,supervised,train_multilingual_auth_demetr_data_single
41,0.1,0.4470384120941162,0.5128205418586731,0.7829181551933289,0.6197183132171631,0.7300000190734863,extreme,en-de,dev,42,supervised,train_multilingual_auth_demetr_data_single
42,0.5,0.4944872558116913,0.7227723002433777,0.5195729732513428,0.6045548915863037,0.8090000152587891,default,en-de,dev,2710,supervised,train_multilingual_auth_demetr_data_single
43,0.5,0.4944872558116913,0.7227723002433777,0.5195729732513428,0.6045548915863037,0.8090000152587891,best,en-de,dev,2710,supervised,train_multilingual_auth_demetr_data_single
44,0.1,0.45455920696258545,0.5055187344551086,0.8149465918540955,0.6239781975746155,0.7239999771118164,extreme,en-de,dev,2710,supervised,train_multilingual_auth_demetr_data_single
45,0.5,0.45047882199287415,0.6824644804000854,0.5,0.5771543383598328,0.7889999747276306,default,en-de,test,107,supervised,train_multilingual_auth_demetr_data_single
46,0.18,0.519127607345581,0.5967302322387695,0.7604166865348816,0.6687023043632507,0.7829999923706055,best,en-de,test,107,supervised,train_multilingual_auth_demetr_data_single
