,language_pair,split,threshold_strategy,exp_group,MCC,seed,threshold,precision,recall,f1,accuracy
0,en-cs,dev,best,train_multilingual_auth_data_all,0.4491952061653137,107,0.34,0.6187499761581421,0.4852941036224365,0.5439560413360596,0.8339999914169312
1,en-cs,dev,default,train_multilingual_auth_data_all,0.43715229630470276,107,0.5,0.550000011920929,0.5116279125213623,0.5301204919815063,0.843999981880188
2,en-cs,dev,extreme,train_multilingual_auth_data_all,0.4190134108066559,107,0.1,0.6937500238418579,0.4236641228199005,0.5260663628578186,0.800000011920929
3,en-cs,test,best,train_multilingual_auth_data_all,0.468002051115036,928,0.38,0.60317462682724,0.5454545617103577,0.572864294052124,0.8299999833106995
4,en-cs,test,default,train_multilingual_auth_data_all,0.47834211587905884,928,0.5,0.5661375522613525,0.5752688050270081,0.5706666707992554,0.8389999866485596
5,en-cs,test,extreme,train_multilingual_auth_data_all,0.44931158423423767,928,0.1,0.6931216716766357,0.49433961510658264,0.5770925283432007,0.8080000281333923
6,en-de,dev,best,train_multilingual_auth_data_all,0.46968430280685425,928,0.11,0.6548042893409729,0.5993485450744629,0.6258503198623657,0.7799999713897705
7,en-de,dev,default,train_multilingual_auth_data_all,0.45752787590026855,928,0.5,0.5409252643585205,0.6551724076271057,0.5925925970077515,0.7910000085830688
8,en-de,dev,extreme,train_multilingual_auth_data_all,0.4497445821762085,928,0.1,0.6619216799736023,0.5942491888999939,0.6262626051902771,0.777999997138977
9,en-de,test,best,train_multilingual_auth_data_all,0.5182017683982849,928,0.11,0.7395833134651184,0.6209912300109863,0.6751188635826111,0.7950000166893005
10,en-de,test,default,train_multilingual_auth_data_all,0.48625102639198303,928,0.5,0.5902777910232544,0.6640625,0.625,0.7960000038146973
11,en-de,test,extreme,train_multilingual_auth_data_all,0.5189449191093445,928,0.1,0.7430555820465088,0.6184971332550049,0.6750788688659668,0.7940000295639038
12,en-ja,dev,best,train_multilingual_auth_data_all,0.30437523126602173,89,0.10999999999999999,0.6979166865348816,0.24014337360858917,0.35733333230018616,0.7590000033378601
13,en-ja,dev,default,train_multilingual_auth_data_all,0.2911691963672638,89,0.5,0.40625,0.3305084705352783,0.3644859790802002,0.8640000224113464
14,en-ja,dev,extreme,train_multilingual_auth_data_all,0.29035890102386475,89,0.1,0.6979166865348816,0.23426572978496552,0.35078534483909607,0.7519999742507935
15,en-ja,test,best,train_multilingual_auth_data_all,0.27275776863098145,89,0.10999999999999999,0.6219512224197388,0.1924528330564499,0.29394811391830444,0.7549999952316284
16,en-ja,test,default,train_multilingual_auth_data_all,0.25213396549224854,89,0.5,0.39024388790130615,0.28318583965301514,0.3282051384449005,0.8690000176429749
17,en-ja,test,extreme,train_multilingual_auth_data_all,0.26971396803855896,89,0.1,0.6219512224197388,0.18613138794898987,0.28651684522628784,0.7459999918937683
18,en-zh,dev,best,train_multilingual_auth_data_all,0.3673495948314667,928,0.61,0.44680851697921753,0.4632352888584137,0.454873651266098,0.8489999771118164
19,en-zh,dev,default,train_multilingual_auth_data_all,0.3520987629890442,928,0.5,0.4822694957256317,0.4303797483444214,0.454849511384964,0.8370000123977661
20,en-zh,dev,extreme,train_multilingual_auth_data_all,0.3233046233654022,928,0.1,0.588652491569519,0.329365074634552,0.4223918616771698,0.7730000019073486
21,en-zh,test,best,train_multilingual_auth_data_all,0.29567763209342957,107,0.67,0.3607594966888428,0.4384615421295166,0.3958333432674408,0.8259999752044678
22,en-zh,test,default,train_multilingual_auth_data_all,0.3151649534702301,107,0.5,0.46202531456947327,0.4078212380409241,0.43323442339897156,0.8090000152587891
23,en-zh,test,extreme,train_multilingual_auth_data_all,0.3315585255622864,107,0.1,0.6518987417221069,0.34797295928001404,0.453744500875473,0.7519999742507935
