,language_pair,split,threshold_strategy,exp_group,threshold,MCC,precision,recall,f1,accuracy
0,en-cs,dev,best,train_multilingual_auth_data_all,0.43,0.44623953104019165,0.5011480867862701,0.5875,0.5389085054397583,0.8395999908447266
1,en-cs,dev,default,train_multilingual_auth_data_all,0.5,0.433251416683197,0.5047858953475952,0.5524999976158143,0.5273722887039185,0.841599988937378
2,en-cs,dev,extreme,train_multilingual_auth_data_all,0.1,0.41710222959518434,0.4169856429100037,0.6825000047683716,0.5169333696365357,0.7958000063896179
3,en-cs,test,best,train_multilingual_auth_data_all,0.43,0.47085211277008054,0.5609249472618103,0.5894179940223694,0.5718534111976623,0.8329999923706055
4,en-cs,test,default,train_multilingual_auth_data_all,0.5,0.47798713445663454,0.5821478724479675,0.5693121671676635,0.5753150820732117,0.8412000060081481
5,en-cs,test,extreme,train_multilingual_auth_data_all,0.1,0.4564568102359772,0.4732054054737091,0.7111111164093018,0.5673398852348328,0.794599997997284
6,en-de,dev,best,train_multilingual_auth_data_all,0.32199999999999995,0.4690838396549225,0.6213776469230652,0.617793595790863,0.6153404235839843,0.7840000033378601
7,en-de,dev,default,train_multilingual_auth_data_all,0.5,0.4626373589038849,0.6552899122238159,0.5501779317855835,0.5980394363403321,0.7922000050544739
8,en-de,dev,extreme,train_multilingual_auth_data_all,0.1,0.4505659520626068,0.5600422143936157,0.690391457080841,0.6167938351631165,0.7585999965667725
9,en-de,test,best,train_multilingual_auth_data_all,0.322,0.5082761704921722,0.6349567413330078,0.6763888716697692,0.6503766894340515,0.7925999879837036
10,en-de,test,default,train_multilingual_auth_data_all,0.5,0.4879037141799927,0.6603960275650025,0.5972222208976745,0.6268080353736878,0.7954000115394593
11,en-de,test,extreme,train_multilingual_auth_data_all,0.1,0.5186931252479553,0.5901813268661499,0.7729166626930237,0.6681175470352173,0.7787999987602234
12,en-ja,dev,best,train_multilingual_auth_data_all,0.174,0.30414878129959105,0.27025733292102816,0.6041666686534881,0.36573647856712344,0.7979999899864196
13,en-ja,dev,default,train_multilingual_auth_data_all,0.5,0.29337318539619445,0.3372653603553772,0.4,0.36558619141578674,0.8667999982833863
14,en-ja,dev,extreme,train_multilingual_auth_data_all,0.1,0.28932291865348814,0.24991621375083922,0.612500011920929,0.35413566827774046,0.7853999972343445
15,en-ja,test,best,train_multilingual_auth_data_all,0.174,0.26402082443237307,0.23037303388118743,0.5560975551605225,0.3189377188682556,0.8043999910354614
16,en-ja,test,default,train_multilingual_auth_data_all,0.5,0.2479423850774765,0.2786664843559265,0.36341463327407836,0.3152174293994904,0.8705999851226807
17,en-ja,test,extreme,train_multilingual_auth_data_all,0.1,0.266968435049057,0.22219940423965454,0.5853658437728881,0.32118515968322753,0.7953999876976013
18,en-zh,dev,best,train_multilingual_auth_data_all,0.624,0.368211567401886,0.46846198439598086,0.4439716339111328,0.45392163991928103,0.849400007724762
19,en-zh,dev,default,train_multilingual_auth_data_all,0.5,0.35039086937904357,0.4160414755344391,0.4851063847541809,0.4477349281311035,0.8311999917030335
20,en-zh,dev,extreme,train_multilingual_auth_data_all,0.1,0.3253658652305603,0.32002128958702086,0.6510638356208801,0.42781015038490294,0.7540000081062317
21,en-zh,test,best,train_multilingual_auth_data_all,0.624,0.2930152118206024,0.42942048907279967,0.36708860993385317,0.3942684054374695,0.8220000028610229
22,en-zh,test,default,train_multilingual_auth_data_all,0.5,0.3103608965873718,0.40490013360977173,0.44556962251663207,0.42367631793022154,0.8088000059127808
23,en-zh,test,extreme,train_multilingual_auth_data_all,0.1,0.3292698562145233,0.34619852900505066,0.6367088675498962,0.44702569842338563,0.7508000016212464
