,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
0,0.5,0.43715229630470276,0.550000011920929,0.5116279125213623,0.5301204919815063,0.843999981880188,default,en-cs,dev,107,supervised,train_multilingual_auth_data_all
1,0.34,0.4491952061653137,0.6187499761581421,0.4852941036224365,0.5439560413360596,0.8339999914169312,best,en-cs,dev,107,supervised,train_multilingual_auth_data_all
2,0.1,0.4285227358341217,0.6937500238418579,0.4236641228199005,0.5260663628578186,0.800000011920929,extreme,en-cs,dev,107,supervised,train_multilingual_auth_data_all
3,0.5,0.44332635402679443,0.581250011920929,0.5,0.5375722646713257,0.8399999737739563,default,en-cs,dev,89,supervised,train_multilingual_auth_data_all
4,0.36999999999999994,0.45961812138557434,0.65625,0.47727271914482117,0.5526315569877625,0.8299999833106995,best,en-cs,dev,89,supervised,train_multilingual_auth_data_all
5,0.1,0.4113088548183441,0.737500011920929,0.3881579041481018,0.5086206793785095,0.7720000147819519,extreme,en-cs,dev,89,supervised,train_multilingual_auth_data_all
6,0.5,0.4274188280105591,0.5562499761581421,0.49444442987442017,0.5235294103622437,0.8379999995231628,default,en-cs,dev,928,supervised,train_multilingual_auth_data_all
7,0.38,0.4520893096923828,0.6000000238418579,0.5,0.5454545617103577,0.8399999737739563,best,en-cs,dev,928,supervised,train_multilingual_auth_data_all
8,0.1,0.42680495977401733,0.668749988079071,0.43319839239120483,0.525798499584198,0.8069999814033508,extreme,en-cs,dev,928,supervised,train_multilingual_auth_data_all
9,0.5,0.4386347532272339,0.543749988079071,0.5178571343421936,0.5304877758026123,0.8460000157356262,default,en-cs,dev,2710,supervised,train_multilingual_auth_data_all
10,0.5,0.4386347532272339,0.543749988079071,0.5178571343421936,0.5304877758026123,0.8460000157356262,best,en-cs,dev,2710,supervised,train_multilingual_auth_data_all
11,0.1,0.4190134108066559,0.675000011920929,0.421875,0.5192307829856873,0.800000011920929,extreme,en-cs,dev,2710,supervised,train_multilingual_auth_data_all
12,0.5,0.41972485184669495,0.53125,0.5,0.5151515007019043,0.8399999737739563,default,en-cs,dev,42,supervised,train_multilingual_auth_data_all
13,0.56,0.4316602647304535,0.518750011920929,0.5253164768218994,0.5220125913619995,0.8479999899864197,best,en-cs,dev,42,supervised,train_multilingual_auth_data_all
14,0.1,0.3998611867427826,0.637499988079071,0.41803279519081116,0.5049505233764648,0.800000011920929,extreme,en-cs,dev,42,supervised,train_multilingual_auth_data_all
15,0.5,0.47162044048309326,0.5661375522613525,0.5752688050270081,0.5706666707992554,0.8389999866485596,default,en-cs,test,928,supervised,train_multilingual_auth_data_all
16,0.38,0.468002051115036,0.60317462682724,0.5454545617103577,0.572864294052124,0.8299999833106995,best,en-cs,test,928,supervised,train_multilingual_auth_data_all
17,0.1,0.46829670667648315,0.6931216716766357,0.49433961510658264,0.5770925283432007,0.8080000281333923,extreme,en-cs,test,928,supervised,train_multilingual_auth_data_all
18,0.5,0.47443774342536926,0.5502645373344421,0.5909090638160706,0.5698630213737488,0.8429999947547913,default,en-cs,test,2710,supervised,train_multilingual_auth_data_all
19,0.5,0.47443774342536926,0.5502645373344421,0.5909090638160706,0.5698630213737488,0.8429999947547913,best,en-cs,test,2710,supervised,train_multilingual_auth_data_all
20,0.1,0.44931158423423767,0.7037037014961243,0.46830984950065613,0.562367856502533,0.7929999828338623,extreme,en-cs,test,2710,supervised,train_multilingual_auth_data_all
21,0.5,0.4831692576408386,0.5608465671539307,0.5955055952072144,0.5776566863059998,0.8450000286102295,default,en-cs,test,42,supervised,train_multilingual_auth_data_all
22,0.56,0.4948434829711914,0.5396825671195984,0.6296296119689941,0.5811966061592102,0.8529999852180481,best,en-cs,test,42,supervised,train_multilingual_auth_data_all
23,0.1,0.4774302840232849,0.6984127163887024,0.5019011497497559,0.5840708017349243,0.8119999766349792,extreme,en-cs,test,42,supervised,train_multilingual_auth_data_all
