,language_pair,split,threshold_strategy,exp_group,threshold,MCC,precision,recall,f1,accuracy
0,en-cs,dev,best,second_step_base_demetr_data,0.51,0.4800556659698486,0.5358116507530213,0.6024999976158142,0.5670276761054993,0.8527999877929687
1,en-cs,dev,default,second_step_base_demetr_data,0.5,0.47577654719352724,0.5276100039482117,0.60625,0.5639926671981812,0.85
2,en-cs,dev,extreme,second_step_base_demetr_data,0.1,0.42388591170310974,0.42432850003242495,0.6824999928474427,0.522396731376648,0.8001999974250793
3,en-cs,test,best,second_step_base_demetr_data,0.51,0.49168406128883363,0.5751578569412231,0.6063492178916932,0.5898442029953003,0.8406000018119812
4,en-cs,test,default,second_step_base_demetr_data,0.5,0.490439647436142,0.5691739678382873,0.6126984119415283,0.5896710991859436,0.8388000130653381
5,en-cs,test,extreme,second_step_base_demetr_data,0.1,0.45344412326812744,0.46052172780036926,0.7312169313430786,0.5642192125320434,0.7861999988555908
6,en-de,dev,best,second_step_base_demetr_data,0.506,0.514272928237915,0.7001446127891541,0.581494677066803,0.6349221706390381,0.8121999859809875
7,en-de,dev,default,second_step_base_demetr_data,0.5,0.5130678653717041,0.6946353197097779,0.5864768743515014,0.6357617855072022,0.8111999988555908
8,en-de,dev,extreme,second_step_base_demetr_data,0.1,0.46327284574508665,0.5530277490615845,0.727402138710022,0.6281692862510682,0.7579999923706054
9,en-de,test,best,second_step_base_demetr_data,0.506,0.47928940057754515,0.6815748333930969,0.5520833373069763,0.6096635460853577,0.7966000080108643
10,en-de,test,default,second_step_base_demetr_data,0.5,0.48280401825904845,0.6829735994338989,0.55625,0.6130662560462952,0.7978000044822693
11,en-de,test,extreme,second_step_base_demetr_data,0.1,0.5026995062828064,0.5713254094123841,0.7784722089767456,0.6589072346687317,0.7677999973297119
12,en-zh,dev,best,second_step_base_demetr_data,0.71,0.3461190819740295,0.4586076200008392,0.40992907285690305,0.43217175006866454,0.848199999332428
13,en-zh,dev,default,second_step_base_demetr_data,0.5,0.335161030292511,0.4004028499126434,0.4836879432201385,0.43403181433677673,0.8222000002861023
14,en-zh,dev,extreme,second_step_base_demetr_data,0.1,0.29275261759758,0.3176585674285889,0.5758865296840667,0.40143168568611143,0.7575999975204468
15,en-zh,test,best,second_step_base_demetr_data,0.71,0.2525086760520935,0.4048613131046295,0.3139240503311157,0.35296528935432436,0.8184000015258789
16,en-zh,test,default,second_step_base_demetr_data,0.5,0.265455436706543,0.3738462865352631,0.40126582980155945,0.38331210017204287,0.7972000002861023
17,en-zh,test,extreme,second_step_base_demetr_data,0.1,0.28053677678108213,0.33801995515823363,0.5329113900661469,0.404655909538269,0.7553999900817872
