,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
0,0.5,0.47209832072257996,0.612500011920929,0.5185185074806213,0.5616045594215393,0.847000002861023,default,en-cs,dev,928,supervised,second_step_base_demetr_data
1,0.49,0.47698548436164856,0.6187499761581421,0.5210526585578918,0.5657142996788025,0.8479999899864197,best,en-cs,dev,928,supervised,second_step_base_demetr_data
2,0.1,0.4183901250362396,0.7250000238418579,0.4000000059604645,0.5155555605888367,0.7820000052452087,extreme,en-cs,dev,928,supervised,second_step_base_demetr_data
3,0.5,0.48098239302635193,0.59375,0.5428571701049805,0.5671641826629639,0.8550000190734863,default,en-cs,dev,107,supervised,second_step_base_demetr_data
4,0.44,0.4820403754711151,0.606249988079071,0.5359116196632385,0.5689149498939514,0.8529999852180481,best,en-cs,dev,107,supervised,second_step_base_demetr_data
5,0.1,0.42060157656669617,0.6499999761581421,0.4351464509963989,0.5213032364845276,0.8090000152587891,extreme,en-cs,dev,107,supervised,second_step_base_demetr_data
6,0.5,0.4728654623031616,0.6187499761581421,0.515625,0.5625,0.8460000157356262,default,en-cs,dev,89,supervised,second_step_base_demetr_data
7,0.58,0.4755471646785736,0.581250011920929,0.5438596606254578,0.5619335174560547,0.8550000190734863,best,en-cs,dev,89,supervised,second_step_base_demetr_data
8,0.1,0.42762500047683716,0.7124999761581421,0.4145454466342926,0.5241379141807556,0.7929999828338623,extreme,en-cs,dev,89,supervised,second_step_base_demetr_data
9,0.5,0.47875890135765076,0.59375,0.5397727489471436,0.5654761791229248,0.8539999723434448,default,en-cs,dev,2710,supervised,second_step_base_demetr_data
10,0.5,0.47875890135765076,0.59375,0.5397727489471436,0.5654761791229248,0.8539999723434448,best,en-cs,dev,2710,supervised,second_step_base_demetr_data
11,0.1,0.4290906488895416,0.643750011920929,0.447826087474823,0.528205156326294,0.8159999847412109,extreme,en-cs,dev,2710,supervised,second_step_base_demetr_data
12,0.5,0.47417765855789185,0.612500011920929,0.521276593208313,0.5632184147834778,0.8479999899864197,default,en-cs,dev,42,supervised,second_step_base_demetr_data
13,0.54,0.4869464039802551,0.612500011920929,0.5384615659713745,0.5730994343757629,0.8539999723434448,best,en-cs,dev,42,supervised,second_step_base_demetr_data
14,0.1,0.42372220754623413,0.6812499761581421,0.42412450909614563,0.5227817893028259,0.8009999990463257,extreme,en-cs,dev,42,supervised,second_step_base_demetr_data
15,0.5,0.49764809012413025,0.5925925970077515,0.5925925970077515,0.5925925970077515,0.8460000157356262,default,en-cs,test,2710,supervised,second_step_base_demetr_data
16,0.5,0.49764809012413025,0.5925925970077515,0.5925925970077515,0.5925925970077515,0.8460000157356262,best,en-cs,test,2710,supervised,second_step_base_demetr_data
