,language_pair,split,threshold_strategy,exp_group,MCC,seed,threshold,precision,recall,f1,accuracy
0,en-cs,dev,best,second_step_base_demetr_data,0.47875890135765076,928,0.49,0.6187499761581421,0.5210526585578918,0.5657142996788025,0.8479999899864197
1,en-cs,dev,default,second_step_base_demetr_data,0.47417765855789185,928,0.5,0.612500011920929,0.5185185074806213,0.5616045594215393,0.847000002861023
2,en-cs,dev,extreme,second_step_base_demetr_data,0.42372220754623413,928,0.1,0.7250000238418579,0.4000000059604645,0.5155555605888367,0.7820000052452087
3,en-cs,test,best,second_step_base_demetr_data,0.48682335019111633,2710,0.5,0.5925925970077515,0.5925925970077515,0.5925925970077515,0.8460000157356262
4,en-cs,test,default,second_step_base_demetr_data,0.48904263973236084,2710,0.5,0.5925925970077515,0.5925925970077515,0.5925925970077515,0.8460000157356262
5,en-cs,test,extreme,second_step_base_demetr_data,0.44871652126312256,2710,0.1,0.6984127163887024,0.49438202381134033,0.5789473652839661,0.8080000281333923
6,en-de,dev,best,second_step_base_demetr_data,0.5156182050704956,89,0.55,0.5551601648330688,0.7123287916183472,0.6240000128746033,0.8119999766349792
7,en-de,dev,default,second_step_base_demetr_data,0.5134175419807434,89,0.5,0.5836299061775208,0.6861924529075623,0.6307692527770996,0.8080000281333923
8,en-de,dev,extreme,second_step_base_demetr_data,0.46550700068473816,89,0.1,0.7295373678207397,0.5570651888847351,0.6317411661148071,0.7609999775886536
9,en-de,test,best,second_step_base_demetr_data,0.48376360535621643,928,0.5,0.5486111044883728,0.6899563074111938,0.6112185716629028,0.7990000247955322
10,en-de,test,default,second_step_base_demetr_data,0.48376360535621643,928,0.5,0.5486111044883728,0.6899563074111938,0.6112185716629028,0.7990000247955322
11,en-de,test,extreme,second_step_base_demetr_data,0.504298985004425,928,0.1,0.7708333134651184,0.5826771855354309,0.6636771559715271,0.7749999761581421
12,en-zh,dev,best,second_step_base_demetr_data,0.3459819555282593,107,0.75,0.41134750843048096,0.46399998664855957,0.43609023094177246,0.8500000238418579
13,en-zh,dev,default,second_step_base_demetr_data,0.33117493987083435,107,0.5,0.5460993051528931,0.36320754885673523,0.4362606108188629,0.8009999990463257
14,en-zh,dev,extreme,second_step_base_demetr_data,0.29096874594688416,107,0.1,0.7092198729515076,0.2724795639514923,0.3937007784843445,0.6919999718666077
15,en-zh,test,best,second_step_base_demetr_data,0.2540905475616455,89,0.8200000000000001,0.29113924503326416,0.42990654706954956,0.34716981649398804,0.8270000219345093
16,en-zh,test,default,second_step_base_demetr_data,0.26997727155685425,89,0.5,0.3734177350997925,0.3782051205635071,0.3757961690425873,0.8040000200271606
17,en-zh,test,extreme,second_step_base_demetr_data,0.27374520897865295,89,0.1,0.44936707615852356,0.3446601927280426,0.3901098966598511,0.777999997138977
