,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
13,0.73,0.3062872588634491,0.40625,0.3513513505458832,0.37681159377098083,0.8709999918937683,best,en-ja,dev,2710,supervised,second_step_base_demetr_auth_data_enja
12,0.5,0.301273912191391,0.4895833432674408,0.3032258152961731,0.3745020031929016,0.8429999947547913,default,en-ja,dev,2710,supervised,second_step_base_demetr_auth_data_enja
14,0.1,0.23332278430461884,0.6666666865348816,0.19393938779830933,0.3004694879055023,0.7020000219345093,extreme,en-ja,dev,2710,supervised,second_step_base_demetr_auth_data_enja
25,0.46,0.10825341194868088,0.13414634764194489,0.2075471729040146,0.16296295821666718,0.8870000243186951,best,en-ja,test,42,supervised,second_step_base_demetr_auth_data_enja
24,0.5,0.09416186064481735,0.12195122241973877,0.19230769574642181,0.1492537260055542,0.8859999775886536,default,en-ja,test,42,supervised,second_step_base_demetr_auth_data_enja
26,0.1,0.12436527013778687,0.18292683362960815,0.20270270109176636,0.19230769574642181,0.8740000128746033,extreme,en-ja,test,42,supervised,second_step_base_demetr_auth_data_enja
