,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
1,0.5700000000000001,0.33871299028396606,0.43209877610206604,0.3645833432674408,0.395480215549469,0.8930000066757202,best,en-ja,dev,928,supervised,second_step_base_demetr_auth_data_enja
0,0.5,0.32669514417648315,0.4117647111415863,0.3645833432674408,0.3867403268814087,0.8889999985694885,default,en-ja,dev,928,supervised,second_step_base_demetr_auth_data_enja
2,0.1,0.2803291976451874,0.3333333432674408,0.375,0.3529411852359772,0.8679999709129333,extreme,en-ja,dev,928,supervised,second_step_base_demetr_auth_data_enja
19,0.49,0.27093473076820374,0.2777777910232544,0.4268292784690857,0.3365384638309479,0.8619999885559082,best,en-ja,test,89,supervised,second_step_base_demetr_auth_data_enja
18,0.5,0.2617437541484833,0.2720000147819519,0.4146341383457184,0.3285024166107178,0.8610000014305115,default,en-ja,test,89,supervised,second_step_base_demetr_auth_data_enja
20,0.1,0.213242769241333,0.17421603202819824,0.6097561120986938,0.27100270986557007,0.7310000061988831,extreme,en-ja,test,89,supervised,second_step_base_demetr_auth_data_enja
