,language_pair,split,threshold_strategy,exp_group,threshold,MCC,precision,recall,f1,accuracy
0,en-ja,dev,best,second_step_base_demetr_auth_data_enja,0.542,0.31975169777870177,0.39166666865348815,0.3856241524219513,0.38269088268280027,0.8789999961853028
1,en-ja,dev,default,second_step_base_demetr_auth_data_enja,0.5,0.31348917484283445,0.4020833373069763,0.3719738364219666,0.37734765410423277,0.8729999899864197
2,en-ja,dev,extreme,second_step_base_demetr_auth_data_enja,0.1,0.2608249753713608,0.4791666746139526,0.2834063291549683,0.3300999879837036,0.8055999994277954
3,en-ja,test,best,second_step_base_demetr_auth_data_enja,0.542,0.1659836322069168,0.23170732259750365,0.23582587540149688,0.22764413356781005,0.8784000158309937
4,en-ja,test,default,second_step_base_demetr_auth_data_enja,0.5,0.1735675409436226,0.2585365831851959,0.2328835517168045,0.2357410430908203,0.8730000019073486
5,en-ja,test,extreme,second_step_base_demetr_auth_data_enja,0.1,0.17784039676189423,0.3780487835407257,0.2047085642814636,0.2415078341960907,0.8156000018119812
