,language_pair,split,threshold_strategy,exp_group,MCC,seed,threshold,precision,recall,f1,accuracy
0,en-ja,dev,best,second_step_base_demetr_auth_data_enja,0.31739184260368347,928,0.5700000000000001,0.43209877610206604,0.3645833432674408,0.395480215549469,0.8930000066757202
1,en-ja,dev,default,second_step_base_demetr_auth_data_enja,0.31382957100868225,928,0.5,0.4117647111415863,0.3645833432674408,0.3867403268814087,0.8889999985694885
2,en-ja,dev,extreme,second_step_base_demetr_auth_data_enja,0.27594467997550964,928,0.1,0.3333333432674408,0.375,0.3529411852359772,0.8679999709129333
3,en-ja,test,best,second_step_base_demetr_auth_data_enja,0.132522314786911,2710,0.73,0.261904776096344,0.26829269528388977,0.2650602459907532,0.878000020980835
4,en-ja,test,default,second_step_base_demetr_auth_data_enja,0.13703137636184692,2710,0.5,0.2518518567085266,0.4146341383457184,0.31336405873298645,0.8510000109672546
5,en-ja,test,extreme,second_step_base_demetr_auth_data_enja,0.18336202204227448,2710,0.1,0.17171716690063477,0.6219512224197388,0.26912927627563477,0.7229999899864197
