,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
7,0.45,0.330864280462265,0.46875,0.3125,0.375,0.8999999761581421,best,en-ja,dev,928,supervised,second_step_base_auth_data_enja
12,0.5,0.3267001211643219,0.3287671208381653,0.5,0.39669421315193176,0.8539999723434448,default,en-ja,dev,42,supervised,second_step_base_auth_data_enja
11,0.1,0.2956966459751129,0.3855421543121338,0.3333333432674408,0.35754188895225525,0.8849999904632568,extreme,en-ja,dev,89,supervised,second_step_base_auth_data_enja
22,0.45,0.1547008603811264,0.25,0.18292683362960815,0.2112676054239273,0.8880000114440918,best,en-ja,test,928,supervised,second_step_base_auth_data_enja
21,0.5,0.1547008603811264,0.25,0.18292683362960815,0.2112676054239273,0.8880000114440918,default,en-ja,test,928,supervised,second_step_base_auth_data_enja
17,0.1,0.21933074295520782,0.2933333218097687,0.26829269528388977,0.2802547812461853,0.8870000243186951,extreme,en-ja,test,89,supervised,second_step_base_auth_data_enja
