,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
2,0.53,0.334230899810791,0.3380281627178192,0.5,0.40336135029792786,0.8579999804496765,best,en-ja,dev,42,supervised,second_step_base_auth_data_enja
7,0.5,0.33218246698379517,0.4833333194255829,0.3020833432674408,0.3717948794364929,0.9020000100135803,default,en-ja,dev,89,supervised,second_step_base_auth_data_enja
12,0.1,0.30052268505096436,0.2531120479106903,0.6354166865348816,0.36201781034469604,0.7850000262260437,extreme,en-ja,dev,42,supervised,second_step_base_auth_data_enja
17,0.52,0.2512456476688385,0.25954198837280273,0.4146341383457184,0.31924882531166077,0.8550000190734863,best,en-ja,test,107,supervised,second_step_base_auth_data_enja
22,0.5,0.24293696880340576,0.25,0.4146341383457184,0.31192660331726074,0.8500000238418579,default,en-ja,test,107,supervised,second_step_base_auth_data_enja
27,0.1,0.26306992769241333,0.2118644118309021,0.6097561120986938,0.31446540355682373,0.7820000052452087,extreme,en-ja,test,2710,supervised,second_step_base_auth_data_enja
