,language_pair,split,threshold_strategy,exp_group,threshold,MCC,precision,recall,f1,accuracy
0,en-ja,dev,best,second_step_base_auth_data_enja,0.496,0.3343972623348236,0.3949179708957672,0.4229166626930237,0.39238932728767395,0.8757999897003174
1,en-ja,dev,default,second_step_base_auth_data_enja,0.5,0.3313904643058777,0.3912265360355377,0.4229166626930237,0.38972086310386655,0.8741999983787536
2,en-ja,dev,extreme,second_step_base_auth_data_enja,0.1,0.30012455582618713,0.3046839028596878,0.5229166686534882,0.3611603379249573,0.8226000070571899
3,en-ja,test,best,second_step_base_auth_data_enja,0.496,0.2202392816543579,0.26495684385299684,0.32439024150371554,0.28154081106185913,0.8716000080108642
4,en-ja,test,default,second_step_base_auth_data_enja,0.5,0.21719045639038087,0.260366952419281,0.3268292635679245,0.2787721395492554,0.8690000057220459
5,en-ja,test,extreme,second_step_base_auth_data_enja,0.1,0.2519961029291153,0.24865770041942598,0.48048781156539916,0.3061399281024933,0.825600016117096
