,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
1,0.52,0.3384348452091217,0.5208333134651184,0.3333333432674408,0.4065040647983551,0.8539999723434448,best,en-ja,dev,107,supervised,second_step_base_auth_data_enja
3,0.5,0.3342278301715851,0.4791666567325592,0.3484848439693451,0.4035087823867798,0.8640000224113464,default,en-ja,dev,2710,supervised,second_step_base_auth_data_enja
5,0.1,0.3025360703468323,0.6458333134651184,0.2520325183868408,0.3625730872154236,0.7820000052452087,extreme,en-ja,dev,2710,supervised,second_step_base_auth_data_enja
19,0.53,0.2782382369041443,0.4390243887901306,0.28125,0.34285715222358704,0.8619999885559082,best,en-ja,test,42,supervised,second_step_base_auth_data_enja
18,0.5,0.2748351991176605,0.45121949911117554,0.2720588147640228,0.33944955468177795,0.8560000061988831,default,en-ja,test,42,supervised,second_step_base_auth_data_enja
20,0.1,0.27653080224990845,0.6097561120986938,0.2232142835855484,0.32679739594459534,0.7940000295639038,extreme,en-ja,test,42,supervised,second_step_base_auth_data_enja
