,language_pair,split,threshold_strategy,exp_group,MCC,seed,threshold,precision,recall,f1,accuracy
0,en-cs,test,default,baseline,0.2831032872200012,-,0.5,0.5810810923576355,0.22751322388648987,0.32699620723724365,0.8230000138282776
1,en-de,test,default,baseline,0.30371716618537903,-,0.5,0.6960784196853638,0.2465277761220932,0.3641025722026825,0.7519999742507935
2,en-ja,test,default,baseline,0.08305919915437698,-,0.5,0.2666666805744171,0.04878048598766327,0.0824742242693901,0.9110000133514404
3,en-zh,test,default,baseline,0.10333647578954697,-,0.5,0.5,0.037974681705236435,0.07058823853731155,0.8420000076293945
