,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
10,0.51,0.4870717227458954,0.5602409839630127,0.581250011920929,0.5705521702766418,0.8600000143051147,best,en-cs,dev,2710,supervised,train_multilingual_auth_data_single
9,0.5,0.4847325086593628,0.5568862557411194,0.581250011920929,0.5688073635101318,0.859000027179718,default,en-cs,dev,2710,supervised,train_multilingual_auth_data_single
14,0.1,0.41795095801353455,0.4020979106426239,0.71875,0.5156950950622559,0.7839999794960022,extreme,en-cs,dev,928,supervised,train_multilingual_auth_data_single
22,0.51,0.49652421474456787,0.6067415475845337,0.5714285969734192,0.5885558724403381,0.8489999771118164,best,en-cs,test,2710,supervised,train_multilingual_auth_data_single
21,0.5,0.49385198950767517,0.598901093006134,0.5767195820808411,0.5876010656356812,0.847000002861023,default,en-cs,test,2710,supervised,train_multilingual_auth_data_single
23,0.1,0.46687787771224976,0.4668874144554138,0.7460317611694336,0.5743380784988403,0.7910000085830688,extreme,en-cs,test,2710,supervised,train_multilingual_auth_data_single
31,0.4700000000000001,0.47857731580734253,0.6072607040405273,0.6548042893409729,0.6301369667053223,0.7839999794960022,best,en-de,dev,928,supervised,train_multilingual_auth_data_single
30,0.5,0.4730955958366394,0.6073825359344482,0.6441280841827393,0.6252158880233765,0.7829999923706055,default,en-de,dev,928,supervised,train_multilingual_auth_data_single
44,0.1,0.40572354197502136,0.46817249059677124,0.8113878965377808,0.59375,0.6880000233650208,extreme,en-de,dev,107,supervised,train_multilingual_auth_data_single
49,0.4800000000000001,0.5181735754013062,0.6231002807617188,0.7118055820465088,0.664505660533905,0.7929999828338623,best,en-de,test,42,supervised,train_multilingual_auth_data_single
54,0.5,0.516930341720581,0.6405228972434998,0.6805555820465088,0.6599326729774475,0.7979999780654907,default,en-de,test,107,supervised,train_multilingual_auth_data_single
56,0.1,0.47785669565200806,0.5092024803161621,0.8645833134651184,0.6409266591072083,0.7210000157356262,extreme,en-de,test,107,supervised,train_multilingual_auth_data_single
67,0.29,0.3344652056694031,0.35433071851730347,0.46875,0.4035874307155609,0.8669999837875366,best,en-ja,dev,107,supervised,train_multilingual_auth_data_single
72,0.5,0.33218246698379517,0.4833333194255829,0.3020833432674408,0.3717948794364929,0.9020000100135803,default,en-ja,dev,42,supervised,train_multilingual_auth_data_single
68,0.1,0.3022252321243286,0.30000001192092896,0.5,0.375,0.8399999737739563,extreme,en-ja,dev,107,supervised,train_multilingual_auth_data_single
88,0.47000000000000003,0.27933770418167114,0.30000001192092896,0.40243902802467346,0.34375,0.8740000128746033,best,en-ja,test,928,supervised,train_multilingual_auth_data_single
87,0.5,0.25637373328208923,0.2884615361690521,0.3658536672592163,0.32258063554763794,0.8740000128746033,default,en-ja,test,928,supervised,train_multilingual_auth_data_single
77,0.1,0.2780798077583313,0.2530120611190796,0.5121951103210449,0.33870968222618103,0.8360000252723694,extreme,en-ja,test,2710,supervised,train_multilingual_auth_data_single
97,0.52,0.41455578804016113,0.4691357910633087,0.5390070676803589,0.5016501545906067,0.8489999771118164,best,en-zh,dev,928,supervised,train_multilingual_auth_data_single
96,0.5,0.3959987759590149,0.4444444477558136,0.5390070676803589,0.4871794879436493,0.8399999737739563,default,en-zh,dev,928,supervised,train_multilingual_auth_data_single
95,0.1,0.3245924115180969,0.3052959442138672,0.695035457611084,0.42424243688583374,0.734000027179718,extreme,en-zh,dev,2710,supervised,train_multilingual_auth_data_single
106,0.49999999999999994,0.3196837306022644,0.40437158942222595,0.4683544337749481,0.4340175986289978,0.8069999814033508,best,en-zh,test,89,supervised,train_multilingual_auth_data_single
105,0.5,0.3196837306022644,0.40437158942222595,0.4683544337749481,0.4340175986289978,0.8069999814033508,default,en-zh,test,89,supervised,train_multilingual_auth_data_single
113,0.1,0.34665393829345703,0.33734938502311707,0.7088607549667358,0.4571428596973419,0.734000027179718,extreme,en-zh,test,928,supervised,train_multilingual_auth_data_single
