,language_pair,split,threshold_strategy,exp_group,threshold,MCC,precision,recall,f1,accuracy
0,en-cs,dev,best,train_multilingual_auth_data_single,0.5199999999999999,0.47934871912002563,0.5393271446228027,0.5962500095367431,0.5658518195152282,0.853600013256073
1,en-cs,dev,default,train_multilingual_auth_data_single,0.5,0.47580445408821104,0.5271681427955628,0.6075000047683716,0.5639124751091004,0.8496000051498414
2,en-cs,dev,extreme,train_multilingual_auth_data_single,0.1,0.4098257958889008,0.38484748601913454,0.7437500119209289,0.506526529788971,0.7678000092506408
3,en-cs,test,best,train_multilingual_auth_data_single,0.5199999999999999,0.4827723979949951,0.5767326354980469,0.5873015880584717,0.5808977603912353,0.8398000001907349
4,en-cs,test,default,train_multilingual_auth_data_single,0.5,0.4805912017822266,0.5656559586524963,0.5989418029785156,0.580927848815918,0.8365999937057496
5,en-cs,test,extreme,train_multilingual_auth_data_single,0.1,0.4584700703620911,0.438689124584198,0.7925925970077514,0.5636958479881287,0.7676000118255615
6,en-de,dev,best,train_multilingual_auth_data_single,0.472,0.47671340107917787,0.6073243021965027,0.6512455582618714,0.6283980965614319,0.7835999965667725
7,en-de,dev,default,train_multilingual_auth_data_single,0.5,0.46717709898948667,0.6078651428222657,0.6320284724235534,0.61967613697052,0.7820000052452087
8,en-de,dev,extreme,train_multilingual_auth_data_single,0.1,0.387393856048584,0.4491794228553772,0.8277580142021179,0.5821231842041016,0.6657999992370606
9,en-de,test,best,train_multilingual_auth_data_single,0.472,0.5118019938468933,0.6152283072471618,0.7138888835906982,0.6606786847114563,0.7888000011444092
10,en-de,test,default,train_multilingual_auth_data_single,0.5,0.5119355916976929,0.6274500966072083,0.6930555582046509,0.6585432171821595,0.7929999947547912
11,en-de,test,extreme,train_multilingual_auth_data_single,0.1,0.45008482336997985,0.47777690291404723,0.8895833253860473,0.6212950706481933,0.6872000098228455
12,en-ja,dev,best,train_multilingual_auth_data_single,0.434,0.3293827295303345,0.3799255132675171,0.425,0.39277125597000123,0.8746000051498413
13,en-ja,dev,default,train_multilingual_auth_data_single,0.5,0.32412282228469846,0.3874085068702698,0.4,0.3868796765804291,0.8788000106811523
14,en-ja,dev,extreme,train_multilingual_auth_data_single,0.1,0.2915834367275238,0.296981954574585,0.49166667461395264,0.36222000122070314,0.8337999939918518
15,en-ja,test,best,train_multilingual_auth_data_single,0.434,0.2270076334476471,0.27734892070293427,0.31951219737529757,0.2911470055580139,0.8740000009536744
16,en-ja,test,default,train_multilingual_auth_data_single,0.5,0.21893993020057678,0.27887560725212096,0.2951219528913498,0.28241273760795593,0.8782000064849853
17,en-ja,test,extreme,train_multilingual_auth_data_single,0.1,0.2534903407096863,0.25004289150238035,0.45609755516052247,0.3146669387817383,0.8407999992370605
18,en-zh,dev,best,train_multilingual_auth_data_single,0.506,0.39526739716529846,0.44617524147033694,0.5347517609596253,0.48630385398864745,0.8406000018119812
19,en-zh,dev,default,train_multilingual_auth_data_single,0.5,0.3880401968955994,0.4382371246814728,0.5319148898124695,0.4804936647415161,0.8377999901771546
20,en-zh,dev,extreme,train_multilingual_auth_data_single,0.1,0.30853097438812255,0.2908098816871643,0.7021276593208313,0.41060906648635864,0.7149999976158142
21,en-zh,test,best,train_multilingual_auth_data_single,0.506,0.30672853589057925,0.40346956849098203,0.4392405092716217,0.420474511384964,0.8088000059127808
22,en-zh,test,default,train_multilingual_auth_data_single,0.5,0.30418412685394286,0.3996718943119049,0.4405063271522522,0.41889026165008547,0.8069999933242797
23,en-zh,test,extreme,train_multilingual_auth_data_single,0.1,0.3311754703521729,0.32409528493881223,0.7113923907279969,0.44460915923118594,0.7186000108718872
