,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
0,0.5,0.47837746143341064,0.5268816947937012,0.612500011920929,0.5664739608764648,0.8500000238418579,default,en-cs,dev,107,supervised,train_multilingual_auth_data_single
1,0.48999999999999994,0.47837746143341064,0.5268816947937012,0.612500011920929,0.5664739608764648,0.8500000238418579,best,en-cs,dev,107,supervised,train_multilingual_auth_data_single
2,0.1,0.4112929403781891,0.3833865821361542,0.75,0.5073995590209961,0.7670000195503235,extreme,en-cs,dev,107,supervised,train_multilingual_auth_data_single
3,0.5,0.46466562151908875,0.49753695726394653,0.6312500238418579,0.5564738512039185,0.8389999866485596,default,en-cs,dev,42,supervised,train_multilingual_auth_data_single
4,0.5199999999999999,0.4728654623031616,0.515625,0.6187499761581421,0.5625,0.8460000157356262,best,en-cs,dev,42,supervised,train_multilingual_auth_data_single
5,0.1,0.40745800733566284,0.36627906560897827,0.7875000238418579,0.5,0.7480000257492065,extreme,en-cs,dev,42,supervised,train_multilingual_auth_data_single
6,0.5,0.47906553745269775,0.523809552192688,0.6187499761581421,0.5673352479934692,0.8489999771118164,default,en-cs,dev,89,supervised,train_multilingual_auth_data_single
7,0.5299999999999999,0.4836978316307068,0.5423728823661804,0.6000000238418579,0.5697329640388489,0.8550000190734863,best,en-cs,dev,89,supervised,train_multilingual_auth_data_single
8,0.1,0.39810365438461304,0.36890244483947754,0.7562500238418579,0.4959016442298889,0.7540000081062317,extreme,en-cs,dev,89,supervised,train_multilingual_auth_data_single
9,0.5,0.4847325086593628,0.5568862557411194,0.581250011920929,0.5688073635101318,0.859000027179718,default,en-cs,dev,2710,supervised,train_multilingual_auth_data_single
10,0.51,0.4870717227458954,0.5602409839630127,0.581250011920929,0.5705521702766418,0.8600000143051147,best,en-cs,dev,2710,supervised,train_multilingual_auth_data_single
11,0.1,0.4143234193325043,0.4035714268684387,0.706250011920929,0.5136363506317139,0.7860000133514404,extreme,en-cs,dev,2710,supervised,train_multilingual_auth_data_single
12,0.5,0.47218114137649536,0.5307262539863586,0.59375,0.5604719519615173,0.8510000109672546,default,en-cs,dev,928,supervised,train_multilingual_auth_data_single
13,0.55,0.47473111748695374,0.5515151619911194,0.5687500238418579,0.5600000023841858,0.8569999933242798,best,en-cs,dev,928,supervised,train_multilingual_auth_data_single
14,0.1,0.41795095801353455,0.4020979106426239,0.71875,0.5156950950622559,0.7839999794960022,extreme,en-cs,dev,928,supervised,train_multilingual_auth_data_single
15,0.5,0.47853854298591614,0.5523809790611267,0.6137565970420837,0.5814536213874817,0.8330000042915344,default,en-cs,test,89,supervised,train_multilingual_auth_data_single
16,0.5299999999999999,0.4887251555919647,0.5765306353569031,0.5978835821151733,0.5870130062103271,0.8410000205039978,best,en-cs,test,89,supervised,train_multilingual_auth_data_single
17,0.1,0.45534372329711914,0.4216216206550598,0.8253968358039856,0.5581395626068115,0.753000020980835,extreme,en-cs,test,89,supervised,train_multilingual_auth_data_single
18,0.5,0.4890611171722412,0.5882353186607361,0.5820105671882629,0.585106372833252,0.843999981880188,default,en-cs,test,928,supervised,train_multilingual_auth_data_single
19,0.55,0.4838789403438568,0.604651153087616,0.5502645373344421,0.5761772990226746,0.847000002861023,best,en-cs,test,928,supervised,train_multilingual_auth_data_single
20,0.1,0.46588557958602905,0.4585987329483032,0.761904776096344,0.5725646018981934,0.7850000262260437,extreme,en-cs,test,928,supervised,train_multilingual_auth_data_single
21,0.5,0.49385198950767517,0.598901093006134,0.5767195820808411,0.5876010656356812,0.847000002861023,default,en-cs,test,2710,supervised,train_multilingual_auth_data_single
22,0.51,0.49652421474456787,0.6067415475845337,0.5714285969734192,0.5885558724403381,0.8489999771118164,best,en-cs,test,2710,supervised,train_multilingual_auth_data_single
23,0.1,0.46687787771224976,0.4668874144554138,0.7460317611694336,0.5743380784988403,0.7910000085830688,extreme,en-cs,test,2710,supervised,train_multilingual_auth_data_single
