,language_pair,split,threshold_strategy,exp_group,threshold,MCC,precision,recall,f1,accuracy
0,en-cs,dev,best,second_step_base_auth_data,0.496,0.4705846071243286,0.5949999928474426,0.5277384281158447,0.5593363046646118,0.85
1,en-cs,dev,default,second_step_base_auth_data,0.5,0.4656823456287384,0.5887500047683716,0.5252209901809692,0.5550993800163269,0.8490000009536743
2,en-cs,dev,extreme,second_step_base_auth_data,0.1,0.4109333634376526,0.7299999952316284,0.39074066281318665,0.508963143825531,0.7745999932289124
3,en-cs,test,best,second_step_base_auth_data,0.496,0.4866590976715088,0.5915343999862671,0.578157639503479,0.5847511529922486,0.8412000060081481
4,en-cs,test,default,second_step_base_auth_data,0.5,0.4884131193161011,0.5925926089286804,0.5798583388328552,0.5860839724540711,0.8418000102043152
5,en-cs,test,extreme,second_step_base_auth_data,0.1,0.446023029088974,0.7619047522544861,0.4389909327030182,0.556942367553711,0.7708000063896179
6,en-de,dev,best,second_step_base_auth_data,0.602,0.47860766649246217,0.42704626321792605,0.7894526362419129,0.5538555264472962,0.8067999958992005
7,en-de,dev,default,second_step_base_auth_data,0.5,0.4750938653945923,0.4469750881195068,0.7617914199829101,0.5631680130958557,0.8051999926567077
8,en-de,dev,extreme,second_step_base_auth_data,0.1,0.45083479285240174,0.5145907461643219,0.6667924284934997,0.5797561883926392,0.7906000018119812
9,en-de,test,best,second_step_base_auth_data,0.602,0.45347645282745364,0.41875,0.7616386771202087,0.5398322463035583,0.7948000073432923
10,en-de,test,default,second_step_base_auth_data,0.5,0.4718708276748657,0.45555556416511533,0.7534528732299804,0.5676119446754455,0.8001999855041504
11,en-de,test,extreme,second_step_base_auth_data,0.1,0.49295384883880616,0.5604166626930237,0.6941991686820984,0.618909728527069,0.8015999913215637
12,en-zh,dev,best,second_step_base_auth_data,0.492,0.39387134909629823,0.5432623982429504,0.4393042802810669,0.48571802377700807,0.8377999901771546
13,en-zh,dev,default,second_step_base_auth_data,0.5,0.3887727200984955,0.5319148898124695,0.4391362130641937,0.4810733437538147,0.8381999969482422
14,en-zh,dev,extreme,second_step_base_auth_data,0.1,0.3189809501171112,0.6964538812637329,0.30051217675209047,0.41926349401474,0.7277999997138977
15,en-zh,test,best,second_step_base_auth_data,0.492,0.304747486114502,0.44303796887397767,0.3989148259162903,0.4197275936603546,0.8065999984741211
16,en-zh,test,default,second_step_base_auth_data,0.5,0.3016245007514954,0.4354430317878723,0.3990125238895416,0.4163841247558594,0.8072000026702881
17,en-zh,test,extreme,second_step_base_auth_data,0.1,0.3399015188217163,0.7050632834434509,0.33319306969642637,0.4518660485744476,0.7293999910354614
