,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
2,0.48000000000000004,0.47218114137649536,0.5307262539863586,0.59375,0.5604719519615173,0.8510000109672546,best,en-cs,dev,42,supervised,second_step_base_auth_data
7,0.5,0.46443337202072144,0.5284090638160706,0.581250011920929,0.5535714030265808,0.8500000238418579,default,en-cs,dev,42,supervised,second_step_base_auth_data
12,0.1,0.41206029057502747,0.3913043439388275,0.731249988079071,0.5098039507865906,0.7749999761581421,extreme,en-cs,dev,42,supervised,second_step_base_auth_data
17,0.5,0.4844988286495209,0.578125,0.5873016119003296,0.5826771855354309,0.8410000205039978,best,en-cs,test,89,supervised,second_step_base_auth_data
22,0.5,0.4887251555919647,0.5765306353569031,0.5978835821151733,0.5870130062103271,0.8410000205039978,default,en-cs,test,928,supervised,second_step_base_auth_data
27,0.1,0.44763898849487305,0.44272446632385254,0.7566137313842773,0.55859375,0.7739999890327454,extreme,en-cs,test,42,supervised,second_step_base_auth_data
32,0.73,0.478870689868927,0.8235294222831726,0.3985764980316162,0.5371702909469604,0.8069999814033508,best,en-de,dev,107,supervised,second_step_base_auth_data
37,0.5,0.47481611371040344,0.7559523582458496,0.4519572854042053,0.5657015442848206,0.8050000071525574,default,en-de,dev,89,supervised,second_step_base_auth_data
42,0.1,0.4479231834411621,0.6887755393981934,0.4804270565509796,0.5660377144813538,0.7929999828338623,extreme,en-de,dev,2710,supervised,second_step_base_auth_data
47,0.61,0.4510369300842285,0.7594936490058899,0.4166666567325592,0.5381165742874146,0.7940000295639038,best,en-de,test,928,supervised,second_step_base_auth_data
52,0.5,0.4722598195075989,0.7444444298744202,0.4652777910232544,0.5726495981216431,0.800000011920929,default,en-de,test,89,supervised,second_step_base_auth_data
57,0.1,0.4945722222328186,0.7303921580314636,0.5173611044883728,0.6056910753250122,0.8059999942779541,extreme,en-de,test,42,supervised,second_step_base_auth_data
62,0.5,0.3923502266407013,0.44378697872161865,0.5319148898124695,0.4838709533214569,0.8399999737739563,best,en-zh,dev,89,supervised,second_step_base_auth_data
67,0.5,0.38812968134880066,0.4342857003211975,0.5390070676803589,0.4810126721858978,0.8360000252723694,default,en-zh,dev,928,supervised,second_step_base_auth_data
72,0.1,0.3200831413269043,0.30153846740722656,0.695035457611084,0.42060086131095886,0.7300000190734863,extreme,en-zh,dev,107,supervised,second_step_base_auth_data
77,0.47000000000000003,0.3126637935638428,0.40223464369773865,0.4556961953639984,0.42729970812797546,0.8069999814033508,best,en-zh,test,107,supervised,second_step_base_auth_data
82,0.5,0.3040090501308441,0.4047619104385376,0.4303797483444214,0.4171779155731201,0.8100000023841858,default,en-zh,test,107,supervised,second_step_base_auth_data
87,0.1,0.3421158194541931,0.33742332458496094,0.6962025165557861,0.4545454680919647,0.7360000014305115,extreme,en-zh,test,928,supervised,second_step_base_auth_data
