,threshold,MCC,precision,recall,f1,accuracy,threshold_strategy,language_pair,split,seed,model_type,exp_group
0,0.5,0.4836978316307068,0.6000000238418579,0.5423728823661804,0.5697329640388489,0.8550000190734863,default,en-cs,dev,928,supervised,second_step_base_demetr_auth_data
1,0.58,0.4993593394756317,0.59375,0.56886225938797,0.5810397267341614,0.8629999756813049,best,en-cs,dev,928,supervised,second_step_base_demetr_auth_data
2,0.1,0.40670549869537354,0.731249988079071,0.3861386179924011,0.5053995847702026,0.7710000276565552,extreme,en-cs,dev,928,supervised,second_step_base_demetr_auth_data
3,0.5,0.4900367259979248,0.59375,0.5555555820465088,0.574018120765686,0.859000027179718,default,en-cs,dev,89,supervised,second_step_base_demetr_auth_data
4,0.52,0.49700266122817993,0.59375,0.5654761791229248,0.5792682766914368,0.8619999885559082,best,en-cs,dev,89,supervised,second_step_base_demetr_auth_data
5,0.1,0.4152098298072815,0.75,0.3870967626571655,0.5106382966041565,0.7699999809265137,extreme,en-cs,dev,89,supervised,second_step_base_demetr_auth_data
6,0.5,0.48671624064445496,0.6312500238418579,0.5260416865348816,0.5738636255264282,0.8500000238418579,default,en-cs,dev,2710,supervised,second_step_base_demetr_auth_data
7,0.56,0.4984186589717865,0.6187499761581421,0.550000011920929,0.5823529362678528,0.8579999804496765,best,en-cs,dev,2710,supervised,second_step_base_demetr_auth_data
8,0.1,0.41325438022613525,0.7437499761581421,0.3876221477985382,0.5096359848976135,0.7710000276565552,extreme,en-cs,dev,2710,supervised,second_step_base_demetr_auth_data
9,0.5,0.4886206090450287,0.606249988079071,0.5449438095092773,0.5739644765853882,0.8560000061988831,default,en-cs,dev,42,supervised,second_step_base_demetr_auth_data
10,0.54,0.499603271484375,0.6000000238418579,0.5647059082984924,0.581818163394928,0.8619999885559082,best,en-cs,dev,42,supervised,second_step_base_demetr_auth_data
11,0.1,0.39601874351501465,0.75,0.3692307770252228,0.49484536051750183,0.7549999952316284,extreme,en-cs,dev,42,supervised,second_step_base_demetr_auth_data
12,0.5,0.4859216511249542,0.6000000238418579,0.5454545617103577,0.5714285969734192,0.8560000061988831,default,en-cs,dev,107,supervised,second_step_base_demetr_auth_data
13,0.61,0.4916169047355652,0.574999988079071,0.5714285969734192,0.573208749294281,0.8629999756813049,best,en-cs,dev,107,supervised,second_step_base_demetr_auth_data
14,0.1,0.4132835566997528,0.7562500238418579,0.3829113841056824,0.5084033608436584,0.765999972820282,extreme,en-cs,dev,107,supervised,second_step_base_demetr_auth_data
15,0.5,0.46660885214805603,0.6137565970420837,0.5370370149612427,0.5728394985198975,0.8270000219345093,default,en-cs,test,2710,supervised,second_step_base_demetr_auth_data
16,0.56,0.46757790446281433,0.5925925970077515,0.5517241358757019,0.5714285969734192,0.8320000171661377,best,en-cs,test,2710,supervised,second_step_base_demetr_auth_data
