,language_pair,split,threshold_strategy,exp_group,threshold,MCC,precision,recall,f1,accuracy
0,en-cs,dev,best,second_step_base_demetr_auth_data,0.562,0.49720016717910764,0.5962499976158142,0.5640945911407471,0.579537570476532,0.8615999817848206
1,en-cs,dev,default,second_step_base_demetr_auth_data,0.5,0.4869986116886139,0.606250011920929,0.5428737044334412,0.5726015567779541,0.8552000164985657
2,en-cs,dev,extreme,second_step_base_demetr_auth_data,0.1,0.40889440178871156,0.7462499976158142,0.382599937915802,0.5057845175266266,0.7666000008583069
3,en-cs,test,best,second_step_base_demetr_auth_data,0.562,0.4798633575439453,0.5714285850524903,0.5833644866943359,0.5769559621810914,0.8416000008583069
4,en-cs,test,default,second_step_base_demetr_auth_data,0.5,0.4729589581489563,0.5925925970077515,0.5593297004699707,0.5749227046966553,0.8344000101089477
5,en-cs,test,extreme,second_step_base_demetr_auth_data,0.1,0.4164047360420227,0.7767195701599121,0.40538732409477235,0.5326736450195313,0.7424000144004822
6,en-de,dev,best,second_step_base_demetr_auth_data,0.49800000000000005,0.49901269674301146,0.5615658283233642,0.6949516296386719,0.6209323883056641,0.8074000120162964
7,en-de,dev,default,second_step_base_demetr_auth_data,0.5,0.4979439198970795,0.5622775793075562,0.6931124210357666,0.62047119140625,0.8068000078201294
8,en-de,dev,extreme,second_step_base_demetr_auth_data,0.1,0.42495187520980837,0.7345195770263672,0.5167427361011505,0.6030372381210327,0.7277999997138977
9,en-de,test,best,second_step_base_demetr_auth_data,0.49800000000000005,0.5055005073547363,0.5805555582046509,0.6946630597114563,0.6320987701416015,0.8056000113487244
10,en-de,test,default,second_step_base_demetr_auth_data,0.5,0.5052849054336548,0.58125,0.6939374685287476,0.6321172833442688,0.805400013923645
11,en-de,test,extreme,second_step_base_demetr_auth_data,0.1,0.4601805031299591,0.7902777910232544,0.5303322970867157,0.6300702571868897,0.731599998474121
12,en-zh,dev,best,second_step_base_demetr_auth_data,0.538,0.3820996701717377,0.4255319118499756,0.5020901381969451,0.4604276895523071,0.8593999981880188
13,en-zh,dev,default,second_step_base_demetr_auth_data,0.5,0.37799214124679564,0.4297872304916382,0.4920471429824829,0.45876358151435853,0.8569999933242798
14,en-zh,dev,extreme,second_step_base_demetr_auth_data,0.1,0.32227945923805235,0.4652482271194458,0.3908661663532257,0.42460412383079527,0.8222000002861023
15,en-zh,test,best,second_step_base_demetr_auth_data,0.538,0.24413813948631286,0.2974683463573456,0.4032771050930023,0.34212103486061096,0.8193999886512756
16,en-zh,test,default,second_step_base_demetr_auth_data,0.5,0.24336547255516053,0.3025316417217255,0.39850562810897827,0.34382423758506775,0.8175999999046326
17,en-zh,test,extreme,second_step_base_demetr_auth_data,0.1,0.24838168919086456,0.37215189933776854,0.3648610234260559,0.36827033162117007,0.7982000112533569
